title,author,year,publisher,rank,category,link,generatedlinkignorethisexperimental,cover,synopsis,synopsissource
The Facebook Effect,David Kirkpatrick,2010,Virgin Books,shortlist,"technology & innovation, entertainment & media",http://www.ft.com/cms/s/0/1991c8dc-7400-11df-87f5-00144feabdc0.html,,The_Facebook_effect.jpg,The_Facebook_effect.md,http://www.virginbooks.com/
That Used To Be Us,"Thomas Friedman, Michael Mandelbaum",2011,Abacus,longlist,economics,http://www.ft.com/cms/s/2/059dda68-d30f-11e0-9aae-00144feab49a.html,,That_Used_To_Be_Us.jpg,That_Used_To_Be_Us.md,https://www.littlebrown.co.uk/books/detail.page?isbn=9780349000091
No Angel,Tom Bower,2011,Faber & Faber,longlist,"entertainment & media, biography",http://www.ft.com/cms/s/0/db4d9b2e-4a81-11e0-82ab-00144feab49a.html,,No_Angel.jpg,No_Angel.md,http://www.faber.co.uk/9780571269365-no-angel.html
Extreme Money,Satyajit Das,2011,Financial Times/ Prentice Hall,longlist,"banking & finance, investment & markets",http://www.ft.com/cms/s/0/42c3a99a-c8fb-11e0-aed8-00144feabdc0.html?siteedition=uk,,Extreme_Money.jpg,Extreme_Money.md,http://www.pearson.ch/Informatik/FTPrenticeHall/1449/9780273723974/Extreme-Money-The-Masters-of-the.aspx
Grand Pursuit,Sylvia Nasar,2011,Fourth Estate,longlist,"economics, history",,,Grand_Pursuit.jpg,Grand_Pursuit.md,http://www.harpercollins.co.uk/9781841154565/grand-pursuit
Fatal Risk,Roddy Boyd,2011,John Wiley & Sons,longlist,"banking & finance, crime & scandal",http://www.ft.com/cms/s/0/4e269bd2-6b84-11e0-a53e-00144feab49a.html,,Fatal_Risk.jpg,Fatal_Risk.md,http://eu.wiley.com/WileyCDA/WileyTitle/productCd-0470889802.html
Wizard of Lies,Diana Henriques,2011,Oneworld Publications,longlist,"investment & markets, crime & scandal",http://www.ft.com/cms/s/0/f2639a4e-767c-11e0-b05b-00144feabdc0.html,,Wizard_of_Lies.jpg,Wizard_of_Lies.md,https://www.oneworld-publications.com/books/diana-b-henriques/bernie-madoff-the-wizard-of-lies#.VEpqRfnF98E
Exorbitant Privilege,Barry Eichengreen,2011,OUP Oxford,shortlist,"economics, investment & markets",,,Exorbitant_Privilege.jpg,Exorbitant_Privilege.md,http://ukcatalogue.oup.com/product/9780199596713.do
Triumph of the City,Edward Glaeser,2011,Pan,shortlist,"economics, growth markets, globalisation",http://www.ft.com/cms/s/2/2c5b2d02-6165-11e0-a315-00144feab49a.html,,Triumph_of_the_City.jpg,Triumph_of_the_City.md,http://www.panmacmillan.com/book/edwardglaeser/triumphofthecity?format=978033045807801
The Quest,Daniel Yergin,2011,Penguin,shortlist,energy & environment,http://www.ft.com/cms/s/2/d9b090be-de15-11e0-a115-00144feabdc0.html,,The_Quest.jpg,The_Quest.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9781846145544,00.html?strSrchSql=the+quest/The_Quest_Daniel_Yergin"
Poor Economics,"Abhijit Banerjee, Esther Duflo",2011,Penguin,winner,"economics, growth markets",http://www.ft.com/cms/s/2/3aa3147c-7120-11e0-acf5-00144feabdc0.html,,Poor_Economics.jpg,Poor_Economics.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780718193669,00.html?strSrchSql=poor+economics/Poor_Economics_Abhijit_Banerjee"
The Next Convergence,Michael Spence,2011,Picador USA,longlist,economics,http://www.ft.com/cms/s/2/32fb8a62-9a59-11e0-bab2-00144feab49a.html,,The_Next_Convergence.jpg,The_Next_Convergence.md,http://us.macmillan.com/books/9781250007704
Car Guys vs Bean Counters,Bob Lutz,2011,Portfolio,longlist,"manufacturing & commerce, biography",http://www.ft.com/cms/s/0/1eb1e344-9d15-11e0-997d-00144feabdc0.html,,Car_Guys_vs_Bean_Counters.jpg,Car_Guys_vs_Bean_Counters.md,http://www.amazon.co.uk/Car-Guys-vs-Bean-Counters/dp/1591846226
"Good Strategy, Bad Strategy",Richard Rumelt,2011,Profile Books,shortlist,leadership & management,http://www.ft.com/cms/s/0/5c6712b2-95e6-11e0-ba20-00144feab49a.html,,Good_Strategy_Bad_Strategy.jpg,Good_Strategy_Bad_Strategy.md,http://www.profilebooks.com/isbn/9781846684814/
Wilful Blindness,Margaret Heffernan,2011,Simon & Schuster,shortlist,"economics, crime & scandal",http://www.ft.com/cms/s/0/9b788bae-347d-11e0-9ebc-00144feabdc0.html,,Wilful_Blindness.jpg,Wilful_Blindness.md,http://books.simonandschuster.co.uk/Wilful-Blindness/Margaret-Heffernan/9781847399052
A Capitalism for the People,Luigi Zingales,2012,Basic Books,longlist,economics,http://www.ft.com/cms/s/2/0415a456-8551-11e1-a75a-00144feab49a.html,,Capitalism_for_the_People.jpg,Capitalism_for_the_People.md,http://www.basicbooks.com/full-details?isbn=9780465085958
Volcker,William Silber,2012,Bloomsbury Press,shortlist,"biography, banking & finance, economics",http://www.ft.com/cms/s/2/b475aa18-0886-11e2-b57f-00144feabdc0.html,,Volcker.jpg,Volcker.md,http://www.bloomsbury.com/uk/volcker-9781620402924/
American Icon,Bryce Hoffman,2012,Crown Publishing Group,longlist,manufacturing & commerce,http://www.ft.com/cms/s/0/cdd3f41e-7804-11e1-b437-00144feab49a.html,,American_Icon.jpg,American_Icon.md,http://www.randomhouse.com/book/208637/american-icon-by-bryce-g-hoffman
The Hour Between Dog and Wolf,John Coates,2012,Fourth Estate,shortlist,"banking & finance, investment & markets, behavioural science",http://www.ft.com/cms/s/2/c6849366-9e93-11e1-a767-00144feabdc0.html,,The_Hour_Between_Dog_and_Wolf.jpg,The_Hour_Between_Dog_and_Wolf.md,http://www.harpercollins.co.uk/9780007413522/the-hour-between-dog-and-wolf
Abundance,"Peter Diamandis, Steven Kotler",2012,Free Press,longlist,technology & innovation,,,Abundance.jpg,Abundance.md,http://books.simonandschuster.co.uk/Abundance/Peter-H-Diamandis/9781451616835
The End of Leadership,Barbara Kellerman,2012,HarperBusiness,longlist,leadership & management,http://www.ft.com/cms/s/0/743ed636-7d80-11e1-bfa5-00144feab49a.html?siteedition=uk,,The_End_of_Leadership.jpg,The_End_of_Leadership.md,http://www.harpercollins.com/9780062069160/the-end-of-leadership
Standing on the Sun,"Christopher Meyer, Julie Kirby",2012,Harvard Business Review Press,longlist,"technology & innovation, growth markets, globalisation",http://www.ft.com/cms/s/0/d9f30338-5be0-11e1-841c-00144feabdc0.html,,Standing_on_the_Sun.jpg,Standing_on_the_Sun.md,http://www.amazon.co.uk/Standing-Sun-Explosion-Capitalism-Everywhere/dp/1422131688/ref=sr_1_1?s=books&ie=UTF8&qid=1414162069&sr=1-1&keywords=standing+on+the+sun
Steve Jobs,Walter Isaacson,2012,"Little, Brown",shortlist,"biography, technology & innovation,",http://www.ft.com/cms/s/2/f177dea6-fe62-11e0-a72c-00144feabdc0.html,,Steve_Jobs.jpg,Steve_Jobs.md,http://books.simonandschuster.com/Steve-Jobs/Walter-Isaacson/9781451648546
Octopus,Guy Lawson,2012,Oneworld Publications,longlist,"crime & scandal, investment & markets, banking & finance",http://www.ft.com/cms/s/0/26d2d9ea-22be-11e2-8edf-00144feabdc0.html,,Octopus.jpg,Octopus.md,https://www.oneworld-publications.com/books/guy-lawson/octopus#.VEpqePnF98E
What Chinese Want,Tom Doctoroff,2012,Palgrave Macmillan,longlist,"growth markets, globalisation",http://www.ft.com/cms/s/0/1ebf89c8-9b5b-11e1-b097-00144feabdc0.html,,What_Chinese_Want.jpg,What_Chinese_Want.md,http://us.macmillan.com/books/9781137278357
Breakout Nations,Ruchir Sharma,2012,Penguin,longlist,"growth markets, economics, globalisation",http://www.ft.com/cms/s/2/5a8ddb3a-8ada-11e1-912d-00144feab49a.html,,Breakout_Nations.jpg,Breakout Nat.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141973296,00.html?strSrchSql=breakout+nations%2A/Breakout_Nations_Ruchir_Sharma"
Paper Promises,Philip Coggan,2012,Penguin,longlist,"banking & finance, economics, investment & markets",http://www.ft.com/cms/s/2/9cacbeb6-19e0-11e1-b9d7-00144feabdc0.html,,Paper_Promises.jpg,Paper_Promises.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780718192143,00.html?strSrchSql=paper+promises/Paper_Promises_Philip_Coggan"
What Money Can't Buy,Michael Sandel,2012,Penguin,shortlist,"investment & markets, economics",http://www.ft.com/cms/s/2/faf752aa-9f92-11e1-a255-00144feabdc0.html,,What_Money_Cant_Buy.jpg,What_Money_Cant_Buy.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141969800,00.html?strSrchSql=what+money+cant%2A/What_Money_Can%27t_Buy_Michael_Sandel"
Private Empire,Steve Coll,2012,Penguin,winner,energy & environment,http://www.ft.com/cms/s/0/82a4a10c-9e9a-11e1-a24e-00144feabdc0.html,,Private_Empire.jpg,Private_Empire.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9781846146596,00.html?strSrchSql=private+empire/Private_Empire_Steve_Coll"
Why Nations Fail,"Daron Acemoglu, James Robinson",2012,Profile Books,shortlist,economics,http://www.ft.com/cms/s/2/56f88be0-6213-11e1-807f-00144feabdc0.html,,Why_Nations_Fail.jpg,Why_Nations_Fail.md,http://www.profilebooks.com/isbn/9781846684302/
The Power of Habit,Charles Duhigg,2012,Random House Books,longlist,"leadership & management, behavioural science",http://www.ft.com/cms/s/0/d3617516-728a-11e1-9c23-00144feab49a.html,,The_Power_of_Habit.jpg,The_Power_of_Habit.md,http://www.randomhouse.co.uk/editions/the-power-of-habit-why-we-do-what-we-do-and-how-to-change/9781847946249
The End of Power,Moises Naim,2013,Basic Books,longlist,leadership & management,http://www.ft.com/cms/s/2/a7c1a534-7464-11e2-80a7-00144feabdc0.html,,The_End_of_Power.jpg,The_End_of_Power.md,http://www.basicbooks.com/full-details?isbn=9780465065691
The Alchemists,Neil Irwin,2013,Business Plus,shortlist,"economics, banking & finance",http://www.ft.com/cms/s/2/fff06526-a77a-11e2-9fbe-00144feabdc0.html,,The_Alchemists.jpg,The_Alchemists.md,http://www.amazon.co.uk/The-Alchemists-Three-Central-Bankers/dp/1594204624
The Billionaire's Apprentice,Anita Raghavan,2013,BusinessPlusUS,shortlist,"leadership & management, crime & scandal, investment & markets",http://www.ft.com/cms/s/0/023fbd86-de3f-11e2-b990-00144feab7de.html,,The_Billionaire_Apprentice.jpg,The_Billionaire_Apprentice.md,http://www.amazon.co.uk/Billionaires-Apprentice-Indian-American-Elite-Galleon/dp/1455504025/ref=sr_1_1?s=books&ie=UTF8&qid=1414159563&sr=1-1&keywords=the+billionaire%27s+apprentice
The Everything Store,Brad Stone,2013,Corgi,winner,"entrepreneurship, technology & innovation, manufacturing & commerce",http://www.ft.com/cms/s/2/277390ec-3b13-11e3-a7ec-00144feab7de.html,,The_Everything_Store.jpg,The_Everything_Store.md,http://www.randomhouse.co.uk/editions/the-everything-store-jeff-bezos-and-the-age-of-amazon/9780552167833
The End of Competitive Advantage,Rita Gunther McGrath,2013,Harvard Business Review Press,longlist,"leadership & management, economics",http://www.ft.com/cms/s/0/ebf7cb8a-da84-11e2-a237-00144feab7de.html,,The_End_of_Competitive_Advantage.jpg,The_End_of_Competitive_Advantage.md,http://www.amazon.co.uk/End-Competitive-Advantage-Strategy-Business/dp/1422172813/ref=sr_1_1?s=books&ie=UTF8&qid=1414162191&sr=1-1&keywords=the+end+of+competitive+advantage
Big Data,"Viktor Mayer-Schönberger, Kenneth Cukier",2013,John Murray,shortlist,technology & innovation,http://www.ft.com/cms/s/2/afc1c178-8045-11e2-96ba-00144feabdc0.html,,Big_Data.jpg,Big_Data.md,https://www.hodder.co.uk/books/detail.page?isbn=9781848547902
The Org,"Ray Fisman, Tim Sullivan",2013,John Murray Learning,longlist,"leadership & management, workplace",http://www.ft.com/cms/s/2/56b777c8-be72-11e3-b44a-00144feabdc0.html,,The_Org.jpg,The_Org.md,https://www.hodder.co.uk/books/detail.page?isbn=9781848549951
After the Music Stopped,Alan Blinder,2013,Penguin,longlist,"economics, banking & finance, investment & markets",http://www.ft.com/cms/s/2/bc5c84de-5a72-11e2-bc93-00144feab49a.html,,After_the_Music_Stopped.jpg,After_the_Music_Stopped.md,http://thepenguinpress.com/book/after-the-music-stopped/
Scarcity,"Sendhil Mullainathan, Eldar Shafir",2013,Penguin,longlist,economics,http://www.ft.com/cms/s/2/e5cb4920-116c-11e3-a14c-00144feabdc0.html,,Scarcity.jpg,Scarcity.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780141961194,00.html?strSrchSql=scarcity/Scarcity_Sendhil_Mullainathan"
Give and Take,Adam Grant,2013,Phoenix,longlist,"economics, behavioural science, leadership & management",http://www.ft.com/cms/s/0/c292d86c-9d48-11e2-88e9-00144feabdc0.html,,Give_and_Take.jpg,Give_and_Take.md,https://www.orionbooks.co.uk/books/detail.page?isbn=9780297868415
The Great Escape,Angus Deaton,2013,Princeton University Press,longlist,economics,http://www.ft.com/cms/s/2/34757480-31a0-11e3-a16d-00144feab7de.html,,The_Great_Escape.jpg,The_Great_Escape.md,http://press.princeton.edu/titles/10054.html
How Asia Works,Joe Studwell,2013,Profile Books,longlist,growth markets,http://www.ft.com/cms/s/2/e3fd267e-9b7c-11e2-a820-00144feabdc0.html,,How_Asia_Works.jpg,How_Asia_Works.md,http://www.profilebooks.com/isbn/9781846682438/
Making It Happen,Iain Martin,2013,Simon & Schuster UK,shortlist,"banking & finance, crime & scandal",http://www.ft.com/cms/s/0/187df660-1a14-11e3-93e8-00144feab7de.html,,Making_It_Happen.jpg,Making_It_Happen.md,http://books.simonandschuster.co.uk/Making-It-Happen/Iain-Martin/9781471113543
Lean In,Sheryl Sandberg,2013,WH Allen,shortlist,"leadership & management, workplace",http://www.ft.com/cms/s/0/8d5fc76e-85d7-11e2-bed4-00144feabdc0.html,,Lean_In.jpg,Lean_In.md,http://www.randomhouse.co.uk/editions/lean-in-women-work-and-the-will-to-lead/9780753541623
China's Second Continent,Howard French,2014,Alfred A. Knopf,longlist,growth markets,http://blogs.ft.com/beyond-brics/2014/05/27/bb-review-chinas-sour-african-embrace/,,China_Second_Continent.jpg,China_Second_Continent.md,http://knopfdoubleday.com/book/213738/chinas-second-continent/
Flash Boys,Michael Lewis,2014,Allen Lane,longlist,"banking & finance, investment & markets",http://www.ft.com/cms/s/2/2996a228-b9a4-11e3-957a-00144feabdc0.html,,Flash_Boys.jpg,Flash_Boys.md,"http://www.penguin.co.uk/nf/Book/BookDisplay/0,,9780241003633,00.html?strSrchSql=flash+boys/Flash_Boys_Michael_Lewis"
"Creativity, Inc","Ed Catmull, Amy Wallace",2014,Bantam Press,shortlist,leadership & management,http://www.ft.com/cms/s/0/7003d8d6-ae8f-11e3-aaa6-00144feab7de.html,,Creativity_Inc..jpg,Creativity_Inc..md,http://www.randomhouse.co.uk/editions/creativity-inc-overcoming-the-unseen-forces-that-stand-in-the-way-of-true-inspiration/9780593070093
Shredded,Ian Fraser,2014,Birlinn Ltd,longlist,"crime & scandal, banking & finance",http://www.ft.com/cms/s/2/54f28678-0ccc-11e4-bf1e-00144feabdc0.html,,Shredded.jpg,Shredded.md,http://www.birlinn.co.uk/Shredded.html
Hack Attack,Nick Davies,2014,Chatto & Windus,shortlist,"entertainment & media, crime & scandal",http://www.ft.com/cms/s/2/01d98bb4-18b9-11e4-933e-00144feabdc0.html,,Hack_Attack.jpg,Hack_Attack.md,http://www.randomhouse.co.uk/editions/hack-attack/9780701187309
Sons of Wichita,Daniel Schulman,2014,Grand Central Publishing,longlist,"history, biography",http://www.ft.com/cms/s/0/521cec3a-0cc3-11e4-90fa-00144feabdc0.html,,Sons_of_Wichita.jpg,Sons_of_Wichita.md,http://www.hachettebookgroup.com/titles/daniel-schulman/sons-of-wichita/9781455518722/
The Hard Thing About Hard Things,Ben Horowitz,2014,HarperBusiness,longlist,entrepreneurship,http://www.ft.com/cms/s/2/b7a695a6-3e5f-11e4-b7fc-00144feabdc0.html#slide2,,The_Hard_Thing_About_Hard_Things.jpg,The_Hard_Thing_About_Hard_Things.md,http://www.harpercollins.com/9780062273208/the-hard-thing-about-hard-things
Capital in the Twenty-First Century,Thomas Piketty,2014,Harvard University Press,shortlist,economics,http://www.ft.com/cms/s/2/0c6e9302-c3e2-11e3-a8e0-00144feabdc0.html,,Capital_in_the_First_Century.jpg,Capital_in_the_First_Century.md,http://www.amazon.co.uk/Capital-Twenty-First-Century-Thomas-Piketty/dp/067443000X/ref=sr_1_1?s=books&ie=UTF8&qid=1414162288&sr=1-1&keywords=capital+in+the+twenty-first+century
Fragile by Design,"Charles Calomiris, Stephen Haber",2014,Princeton University Press,longlist,"banking & finance, investment & markets",http://www.ft.com/cms/s/2/bd89ab28-af96-11e3-a006-00144feab7de.html,,Fragile_by_Design.jpg,Fragile_by_Design.md,http://press.princeton.edu/titles/10177.html
GDP,Diane Coyle,2014,Princeton University Press,longlist,economics,http://www.ft.com/cms/s/2/cf550f34-a396-11e3-aa85-00144feab7de.html,,GDP.jpg,GDP.md,http://press.princeton.edu/titles/10183.html
The Boom,Russell Gold,2014,Simon & Schuster,longlist,"energy & environment, history",http://www.ft.com/cms/s/2/0d830306-e104-11e3-b59f-00144feabdc0.html,,The_Boom.jpg,The_Boom.md,http://books.simonandschuster.com/The-Boom/Russell-Gold/9781451692280
The Innovators,Walter Isaacson,2014,Simon & Schuster UK,longlist,"technology & innovation, history, biography",http://www.ft.com/cms/s/0/e6dfdab8-4f16-11e4-a1ef-00144feab7de.html,,The_Innovators.jpg,The_Innovators.md,http://books.simonandschuster.co.uk/The-Innovators/Walter-Isaacson/9781471138799
Dragnet Nation,Julia Angwin,2014,Times Books,shortlist,"internet, data",http://www.ft.com/cms/s/0/bd2fa0ac-97d5-11e3-ab60-00144feab7de.html,,Dragnet_Nation.jpg,Dragnet_Nation.md,http://us.macmillan.com/dragnetnation/juliaangwin
House of Debt,"Atif Mian, Amir Sufi",2014,University of Chicago Press,shortlist,economics,http://www.ft.com/cms/s/2/3ec604c0-ec96-11e3-8963-00144feabdc0.html,,House_of_Debt.jpg,House_of_Debt.md,http://press.uchicago.edu/ucp/books/book/chicago/H/bo17241623.html
The Second Machine Age,"Erik Brynjolfsson, Andrew McAfee",2014,W. W. Norton & Company,shortlist,"technology & innovation, economics",http://www.ft.com/cms/s/0/e1046e2e-8aae-11e3-9465-00144feab7de.html?siteedition=uk,,The_Second_Machine_Age.jpg,The_Second_Machine_Age.md,http://www.wwnorton.co.uk/book.html?id=3607
The Glass Closet,John Browne,2014,WH Allen,longlist,workplace,http://www.ft.com/cms/s/0/bb57191a-e283-11e3-89fd-00144feabdc0.html,,The_Glass_Closet.jpg,The_Glass_Closet.md,http://www.randomhouse.co.uk/editions/the-glass-closet/9780753555316
